Description,Barangay,City,Province,Price_PHP,Bedrooms,Bath,Floor_area_sqm,Land_area_sqm
"8,000 sqm Industrial Lot for Sale in Pampanga Technopark - Mabalacat, Pampanga",Tabun,Mabalacat,Pampanga,92000000,,,,8000
"1-Bedroom Unit (4010) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16242000,1,,58,
"1-Bedroom Unit (29I) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26777000,1,1,70,
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...",Cupang,Muntinlupa,Metro Manila,25296000,3,,250,92
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...",Cupang,Muntinlupa,Metro Manila,25496000,3,,250,92
"2-Bedroom Unit (3012) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25471000,2,1,89,
"Studio Condo Unit (6E) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8360751,1,1,33,
"Studio Condo Unit (5G) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,8237774,1,1,36,
"1-Bedroom Condo Unit (10J) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...",Highway Hills,Mandaluyong,Metro Manila,11932768,1,1,57,
"Offices at The Galleon - Prime Suite (20H) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,40650000,,,115,
"Offices at The Galleon - Prime Unit (34J) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,32795000,,,93,
Suntrust Kirana - 2-Bedroom Unit for Sale in Pasig City,Pinagbuhatan,Pasig,Metro Manila,5008864,2,1,37,
"1-Bedroom Unit (N17G2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,10998400,1,1,44,
"2-Bedroom Unit (3711) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25686000,2,,89,
"The Glades at Timberland Heights - Corner Lot for Sale in San Mateo, Blk8 Lot7 (for a...",Malanday,San Mateo,Rizal,,,,,269
"1-Bedroom Unit (N15E1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,12196800,1,1,57,
"1-Bedroom Unit (N34G2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11144000,1,1,44,
"Offices at The Galleon - Prime Unit (23I) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,32037000,,,93,
"Studio Condo Unit (28I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7091280,1,1,32,
"Offices at The Galleon - Prime Unit (14M) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31357000,,,93,
"Offices at The Galleon - Prime Unit (16F) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,36903000,,,108,
"2-Bedroom Unit (3611) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25686000,2,,89,
"Suntrust Capitol Plaza - 2-Bedroom Unit for Sale in Diliman, Quezon City",Diliman,Quezon City,Metro Manila,10100000,2,2,68,
"Studio (3019) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8746000,1,,35,
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Bella, NRFO/B...",Longos,Malolos,Bulacan,5013000,2,,53,88
"3-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Cara wCB, NRF...",Longos,Malolos,Bulacan,6088000,3,,66,99
"1-Bedroom Unit (S18D2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11334400,1,1,52,
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Bella...",Sapang Palay,San Jose del Monte,Bulacan,4516000,2,,53,88
"2-Bedroom Garden Unit (164 sqm) for Sale in Maple at Verdant Towers, Ortigas, Pasig C...",Ugong,Pasig,Metro Manila,56507000,2,1,164,
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio",Gibraltar,Baguio,Benguet,9046000,2,1,44,
"3-Bedroom Unit (N09E) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,24586800,3,2,102,
"2-Bedroom Unit (3918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,27298000,2,1,89,
"Condominium with 1 bedroom for Sale in One Lakeshore Drive, San Antonio, Davao",San Antonio,Davao,Davao Del Sur,7320000,1,2,50,
"Offices at The Galleon - Prime Unit (23J) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31892000,,,93,
"1-Bedroom Unit (2811) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16042000,1,,58,
"1-Bedroom Unit (2918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16007000,1,,57,
"The Glaston Tower - Office Unit, Prime Unit (17L) for Sale in Ortigas East Pasig",Ugong,Pasig,Metro Manila,26699000,,,100,
"1-Bedroom Unit (27K) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,28012000,1,1,69,
"1-Bedroom Unit (1218) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15229000,1,,56,
"1-Bedroom Unit (9K) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21987000,1,1,67,
1BR with Balcony (38 sqm) in Moldex Residences Silang Cavite near Dasmarinas,Biluso,Silang,Cavite,,1,1,38,
"Condominium with 2 bedroom for Sale in Suntrust Shanata, Novaliches, Quezon City",Novaliches,Quezon City,Metro Manila,6363100,2,1,35,
"Pre-Selling 1BR Executive at The Sapphire Bloc East in Ortigas CBD, Pasig, 11.4M",Ortigas CBD,Pasig,Metro Manila,11400000,1,1,,
305 Sqm Penthouse Office Space with Parking Slot for Sale in Makati City,Salcedo Village,Makati,Metro Manila,52000000,,,305,
"2-Bedroom Unit (S63C) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,18013400,2,2,74,
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...",Bagumbayan,Quezon City,Metro Manila,9397390,1,1,46,
"2-Bedroom Unit (3401) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,27512000,2,,89,
"1-Bedroom Unit (3103) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16351000,1,,57,
"Studio Unit (5T1705) for Sale in Studio City, Alabang, Muntinlupa City (for as low as...",Alabang,Muntinlupa,Metro Manila,,1,1,16,
Cityland One Premier - Studio Unit (23 sqm) for Sale in Las Pinas City,Almanza Uno,Las Pinas,Metro Manila,2687891,1,1,23,
"Studio Condo Unit (26D) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7744557,1,1,31,
"Studio Condo Unit (23G) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7722220,1,1,31,
"Studio Condo Unit (11G) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7961545,1,1,31,
"Studio Condo Unit (30B) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7432712,1,1,32,
"1-Bedroom Unit (37M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22863000,1,1,70,
"Studio (4109) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,9206000,1,,32,
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio",Gibraltar,Baguio,Benguet,9046000,2,1,44,
"1-Bedroom Unit (2611) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15902000,1,,58,
"2-Bedroom Garden Unit (164 sqm) for Sale in Maple at Verdant Towers, Ortigas, Pasig C...",Ugong,Pasig,Metro Manila,56507000,2,1,164,
"2-Bedroom Unit (3918) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,27298000,2,1,89,
"3-Bedroom Unit (N09E) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,24586800,3,2,102,
"2-Bedroom Unit (20L) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,44002000,2,2,109,
"Studio Condo Unit (10F) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila",Highway Hills,Mandaluyong,Metro Manila,7961511,1,1,33,
"The Glaston Tower - Office Unit, Prime Unit (34B) for Sale in Ortigas East, Pasig Cit...",Ugong,Pasig,Metro Manila,24000000,,,88,
"1-Bedroom Unit (3203) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16420000,1,,57,
"1-Bedroom Unit (2218) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15560000,1,,53,
"3-Bedroom Unit (58I) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,56826000,3,3,151,
"1-Bedroom Unit (923) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16262000,1,,58,
"1-Bedroom Unit (1021) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15229000,1,,56,
"1-Bedroom Unit (S45D1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11088000,1,1,47,
"1-Bedroom Unit (2211) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15762000,1,,58,
"1-Bedroom Unit (1115) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15601000,1,,58,
"1-Bedroom Unit (1615) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15737000,1,,58,
"1-Bedroom Unit (2603) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15033000,1,,52,
"1-Bedroom Unit (915) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15912000,1,,58,
"Studio Unit (3602) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8957000,1,1,35,
"1-Bedroom Unit (3310) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16042000,1,,58,
"1-Bedroom Unit (4110) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,18126000,1,,58,
"1-Bedroom Unit (3703) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16549000,1,,57,
"Offices at The Galleon - Prime Unit (22G) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,27975000,,,82,
"The Glaston Tower - Office Unit, Prime Unit (17L) for Sale in Ortigas East Pasig",Ugong,Pasig,Metro Manila,26699000,,,100,
"1-Bedroom Unit (3015) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16007000,1,,57,
"1-Bedroom Unit (2207) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15762000,1,,56,
"2-Bedroom Condo (Unit C) for Sale in Suntrust Shanata, Novaliches Quezon City",Novaliches,Quezon City,Metro Manila,6363100,2,1,35,
"Studio (3909) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8151000,1,,32,
"1-Bedroom Unit (2911) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15972000,1,1,58,
"1-Bedroom Unit (3206) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16283000,1,1,57,
"Studio Unit (19L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11571000,1,1,39,
"The Glaston Tower - Office Unit, Prime Unit (31I) for Sale in Ortigas East, Pasig Cit...",Ugong,Pasig,Metro Manila,28221000,,,100,
"Offices at The Galleon - Prime Suite (20K) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,40859000,,,114,
"1-Bedroom Unit (27K) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,28012000,1,1,69,
"1-Bedroom Unit (33K) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,28080000,1,1,69,
"1-Bedroom Unit (10C) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27106000,1,1,70,
"1-Bedroom Unit (24G) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,26767000,1,1,74,
"1-Bedroom Unit (27A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22974000,1,1,67,
"1-Bedroom Unit (51D) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21596000,1,1,66,
"Studio Unit (31L) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,11793000,1,1,39,
"2-Bedroom Unit (3101) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,27405000,2,,89,
"Offices at The Galleon - Prime Unit (35L) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,27516000,,,77,
"1-Bedroom Unit (N35K) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,12263600,1,1,48,
"1-Bedroom Unit (N41E1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,14103600,1,1,58,
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ANICA Mo...",Pasong Camachile I,General Trias,Cavite,2389000,3,,50,50
"1-Bedroom Unit (50F) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,22749000,1,1,66,
"2-Bedroom Unit (S57G) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,17743600,2,2,74,
"Offices at The Galleon - Glass Unit (14N) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,36089000,,,106,
"1-Bedroom Unit (9K) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,21987000,1,1,67,
"1-Bedroom Unit (819) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15297000,1,,56,
"2-Bedroom Unit (S58G) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,17855600,2,2,74,
"1-Bedroom Unit (N06I) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11619300,1,1,43,
"1-Bedroom Unit (1218) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,15229000,1,,56,
"1-Bedroom Unit (N22E1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,12230400,1,1,57,
"Offices at The Galleon - Prime Unit (20M) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31632000,,,93,
"Offices at The Galleon - Prime Unit (24M) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31939000,,,93,
"1-Bedroom Unit (1226) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16052000,1,,58,
"1-Bedroom Unit (1926) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16322000,1,,58,
"Offices at The Galleon - Prime Unit (34I) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,32651000,,,93,
"1-Bedroom Unit (2422) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16462000,1,,58,
"Offices at The Galleon - Prime Suite (16H) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,40422000,,,115,
"Offices at The Galleon - Prime Unit (16M) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31449000,,,93,
"1-Bedroom Unit (S16D1) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,10752000,1,1,46,
"1-Bedroom Unit (N26G2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11110400,1,1,44,
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,Manibaug Paralaya,Porac,Pampanga,9440500,4,,173,168
"Studio (3802) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8862000,1,,35,
"1-Bedroom Unit (1123) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16332000,1,,58,
"1-Bedroom Unit (53M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,23671000,1,1,70,
"1-Bedroom Unit (37F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27006000,1,1,74,
"2-Bedroom Unit (4008) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,26116000,2,1,89,
Suntrust Amadea Tower 1 - Studio Unit for Sale in Quezon City,Paligsahan,Quezon City,Metro Manila,3167280,1,1,24,
"1-Bedroom Unit (2422) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16462000,1,,58,
"Offices at The Galleon - Prime Unit (16M) for Sale in Ortigas, Pasig",San Antonio,Pasig,Metro Manila,31449000,,,93,
"1-Bedroom Unit (1226) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16052000,1,,58,
"1-Bedroom Unit (3603) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16549000,1,,57,
"1-Bedroom Unit (3314) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16076000,1,,57,
"1-Bedroom Unit (N26G2) for Sale in Maven at Capitol Commons, Pasig City",Ortigas CBD,Pasig,Metro Manila,11110400,1,1,44,
"2-Bedroom Unit (49H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,46469000,2,2,114,
"2-Bedroom Unit (3301) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,27512000,2,1,89,
"Studio Unit (3312) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8323000,1,1,35,
"1-Bedroom Unit (28A) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,23188000,1,1,67,
"1-Bedroom Unit (2503) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,14971000,1,,52,
"Condominium with 3 bedroom for Sale in Suntrust Shanata, Novaliches, Quezon City",Novaliches,Quezon City,Metro Manila,7802700,3,2,54,
"Pre-selling 3BR 3-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...",Cupang,Muntinlupa,Metro Manila,27705000,3,,250,125
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,Manibaug Paralaya,Porac,Pampanga,9440500,4,,173,168
"1-Bedroom Unit (53M) for Sale in Empress at Capitol Commons, Pasig City",Oranbo,Pasig,Metro Manila,23671000,1,1,70,
"ARIA RFO Townhouse for Sale in Idesia Dasmarinas Ph1, Special Discount 269K -Blk10 Lo...",San Agustin I,Dasmarinas,Cavite,2239999,2,,42,60
"1-Bedroom Unit (1123) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,16332000,1,,58,
Suntrust Amadea Tower 1 - Studio Unit for Sale in Quezon City,Paligsahan,Quezon City,Metro Manila,3167280,1,1,24,
"Studio (3802) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,8862000,1,,35,
"Studio Unit (4T1806) for Sale in Studio City, Alabang, Muntinlupa City (for as low as...",Alabang,Muntinlupa,Metro Manila,,1,1,16,
"2-Bedroom Unit (3308) for Sale in Maple at Verdant Towers, Ortigas, Pasig City",Ugong,Pasig,Metro Manila,25901000,2,,89,
"3BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 6.6M",Paligsahan,Quezon City,Metro Manila,6626880,3,2,46,
"1-Bedroom Unit (37F) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig",San Antonio,Pasig,Metro Manila,27006000,1,1,74,
